Na I;Na II;H I;O I;O II;N II;Si II;Cu I;Ca II;C II;Type
89179.19024;3597.122248;4195.69853;2554.493401;2134.144918;7286.68672;2844.0756;0;0;0;1
209613.2398;12638.72761;3298.909016;4103.961009;5197.113793;17255.48229;64832.43781;0;0;0;1
167464.0902;3279.390554;9511.496846;1974.990654;151.3780533;21585.71945;25096.39226;0;0;0;1
31491.10435;4600.090876;22721.69068;6640.103723;348.4533049;10244.14675;42047.04481;0;0;0;1
69312.12854;7754.282742;9158.930025;9732.077887;9305.474952;6328.787486;5789.325266;0;0;0;1
157303.9758;4268.976454;2205.880711;5913.483926;9767.220351;42716.71874;122613.0464;0;0;0;1
101003.549;4721.352499;20190.5477;17527.88941;1213.639878;25382.38356;6886.320924;0;0;0;1
110594.7332;8516.846963;19527.03057;11524.31095;1265.232235;7928.398105;4479.915255;0;0;0;1
170829.7091;7465.340978;9697.394904;14823.36154;9157.599522;26489.51498;47039.82155;0;0;0;1
7506.830266;3015.751072;2576.171547;10421.84773;1531.455821;12570.55942;52179.00922;0;0;0;1
36612.92186;1404.114995;11991.50875;12152.43261;2341.400068;43944.0529;19082.48771;0;0;0;1
15882.82904;2613.58564;2546.525167;9110.267489;5378.78048;4590.806921;12917.28481;0;0;0;1
168209.9278;3467.927351;9409.732963;2167.496482;247.7857329;11920.60739;20460.82466;0;0;0;1
101745.7744;9682.102394;928.5721622;10544.66887;1433.417413;1432.065328;11980.45435;0;0;0;1
80432.64782;7807.329681;7758.605672;1940.987346;3396.801059;20164.15118;40122.25013;0;0;0;1
78547.7163;5251.318057;6424.598709;16850.17658;5719.149552;21588.64303;112566.0297;0;0;0;1
47548.81444;6696.007072;1824.630144;1075.124732;10842.79305;14147.3011;41139.07993;0;0;0;1
46378.47255;9233.083487;3545.750203;7896.193078;11686.90475;17492.42653;80508.28704;0;0;0;1
15610.79867;7530.322256;9960.386693;12313.7548;10875.44367;7509.860895;47416.41141;0;0;0;1
27499.64006;3187.531861;4961.523773;9623.887966;5825.951639;44401.87352;61877.12906;0;0;0;1
80031.10219;3099.696806;10390.22899;15508.31373;512.3715212;15664.44828;62055.27899;0;0;0;1
91080.27576;1683.885803;12935.38192;7090.781919;9115.361255;2727.882843;16262.37569;0;0;0;1
22762.09094;1687.20133;12254.95019;8533.66774;4168.147991;28745.73726;22147.13467;0;0;0;1
130413.142;4377.008925;11597.55385;4149.905723;3578.397614;6048.133834;8231.799609;0;0;0;1
94487.54704;4678.34018;16550.03535;14157.92987;1132.437718;44453.87768;56294.13593;0;0;0;1
138945.3522;1370.14282;19967.60685;6938.65259;8660.154854;32800.24428;52121.15178;0;0;0;1
25593.48683;2880.669873;29822.91873;9748.991183;4969.541109;13337.65986;25708.72504;0;0;0;1
37932.41818;1381.525105;1209.508349;9253.660673;8596.580283;42802.41915;51001.47869;0;0;0;1
40274.16535;1945.214279;11720.17575;5149.123286;9281.108429;5411.36986;37136.21632;0;0;0;1
9322.500446;1970.287495;6124.079613;11741.01525;4454.753033;5406.098656;79998.75771;0;0;0;1
85475.48445;7391.865682;12696.61394;6421.018272;11242.6652;34040.82016;13162.67456;0;0;0;1
96304.82807;3436.533468;16481.7476;13099.49595;1891.629477;37768.298;76981.18922;0;0;0;1
4456.829399;4331.61571;6433.647912;3248.779066;6144.675264;19225.70314;2836.454658;0;0;0;1
144621.8395;12805.53469;10184.59775;1113.495293;5099.784497;40458.31882;49209.77541;0;0;0;1
41446.83469;3840.468847;1103.962191;13148.63557;7451.609985;26940.8434;5673.802884;0;0;0;1
12243.59214;3495.660946;9617.809745;4601.035929;11078.50132;24322.00829;59304.13742;0;0;0;1
33443.318;8225.241933;11160.25284;12379.27168;14922.21384;23079.17096;37334.99364;0;0;0;1
85902.32408;11671.73382;1348.01496;6695.473717;1965.242902;12545.2035;49183.24219;0;0;0;1
40551.70975;199.1463778;5155.526661;11858.23079;3166.079643;3788.255903;47455.96287;0;0;0;1
70027.6413;4866.343838;2276.847383;8900.972966;12103.02186;15179.73729;21289.62883;0;0;0;1
173934.0555;3785.393175;7370.002328;291.1601782;6545.864993;16102.71699;2304.717938;0;0;0;1
22626.46805;1112.062042;11475.74804;1692.601706;13168.30084;18900.06512;29149.24733;0;0;0;1
170018.1414;4965.290887;8866.318551;7161.386825;3163.510867;16925.31776;36019.37208;0;0;0;1
115661.325;809.5661965;12278.35587;7049.064217;3824.819482;21331.41258;84211.37579;0;0;0;1
153520.6009;5045.402898;3726.383364;1640.890455;5517.700592;11120.0068;76037.23912;0;0;0;1
11834.20796;9402.725107;8458.851614;4237.171279;3825.150587;9189.556425;33958.73769;0;0;0;1
40013.53784;8051.614641;4321.096053;2591.892582;8797.33528;800.3731378;2727.627498;0;0;0;1
158323.4757;4548.35395;4979.721591;728.0733986;2270.964496;29613.48923;36906.67403;0;0;0;1
28316.26341;7752.165022;2192.116959;7942.952838;3350.573064;42180.97245;68884.47297;0;0;0;1
43220.23355;8334.960531;9602.970683;8849.249645;10098.78451;37346.68077;74627.42558;0;0;0;1
109149.6554;6399.13474;21969.95199;9874.352555;1021.804182;45087.3457;13858.77714;0;0;0;1
38998.11844;3195.276187;7864.966065;6265.652495;8086.472375;13593.8375;858.0979403;0;0;0;1
105831.6287;2877.22111;2463.409281;11296.80066;9900.447528;5429.590904;61276.56205;0;0;0;1
130366.818;3068.059622;7830.710099;2997.964673;4649.155032;32077.62525;41879.25733;0;0;0;1
31381.53498;2930.604113;21270.44345;298.3967812;9397.378005;26182.54258;113148.6481;0;0;0;1
57179.64116;3714.978602;11823.92979;7922.871085;2276.914941;12666.32378;1785.700482;0;0;0;1
165294.4977;8216.38279;8618.331946;10409.69438;8812.036852;52696.23671;1487.847158;0;0;0;1
163430.1638;3591.517548;4318.971972;364.9496197;2758.069374;9113.221075;41102.79013;0;0;0;1
68291.20748;11878.9428;6438.873307;15801.16905;15458.03437;29040.13187;78645.84093;0;0;0;1
19499.08734;8383.962474;3055.396224;17736.81147;8371.497447;33709.5659;59793.75686;0;0;0;1
108696.8416;9814.657261;2255.650412;7443.138717;7371.24412;73034.62454;27489.35655;0;0;0;1
46977.75907;4553.057969;4201.369775;1863.628426;4465.32129;51149.32459;25736.74634;0;0;0;1
158421.186;7010.371616;17219.47671;8069.736021;19425.14898;14285.3079;53923.38477;0;0;0;1
68066.14224;4709.983088;12747.90991;1169.927992;662.3967772;37225.10566;16986.24572;0;0;0;1
53216.45518;3289.112091;5655.615442;7016.433003;3672.255638;10211.65712;62859.14763;0;0;0;1
51485.92234;5722.904255;8024.208607;14346.57465;8902.462251;5671.946633;67961.81635;0;0;0;1
88362.22293;3884.39745;453.5363578;4642.904032;3549.809132;46735.12015;7693.185608;0;0;0;1
75922.44872;678.28436;14685.46654;5299.088453;7205.753747;7561.533951;28641.90118;0;0;0;1
60676.28695;14814.03363;5764.365406;9347.775975;343.6688557;19094.57733;68782.16326;0;0;0;1
99527.41456;6906.775002;13797.01756;2104.760287;5606.872319;21599.96343;43267.95304;0;0;0;1
45882.44656;5168.795149;13454.06097;11798.43103;4079.420706;4275.938028;30976.00454;0;0;0;1
161469.1341;1466.365162;20102.45004;401.5745295;3336.816372;389.9739466;36050.2799;0;0;0;1
111701.4429;8785.767866;16401.27886;2839.233061;5456.161992;20319.5504;24752.16806;0;0;0;1
122818.8658;6199.572395;9397.0867;10918.06001;1254.394936;31347.91341;50134.69469;0;0;0;1
96050.69696;3306.380536;16287.3169;16630.21293;12232.16195;36516.78268;10165.15017;0;0;0;1
210105.7953;7439.754133;12690.22791;5992.926383;6497.335171;15421.87349;12768.59681;0;0;0;1
82834.42921;1705.05074;5125.381957;272.7675889;4523.778195;5570.436847;49970.91936;0;0;0;1
6778.227245;5337.019458;7138.596265;10638.65074;9211.373535;26416.70275;30288.92997;0;0;0;1
11979.20117;1624.999865;3227.415352;9209.704963;4441.364592;6445.760343;68738.9069;0;0;0;1
81916.05537;6263.004168;305.511761;3183.994796;2378.27452;2031.545436;19499.15409;0;0;0;1
88748.39547;4055.969846;4861.71253;4399.279353;9945.946076;35677.6197;16146.5194;0;0;0;1
30761.3275;6741.346232;7598.65677;4383.389251;7953.031421;24025.52315;4797.831283;0;0;0;1
37898.63012;494.6822868;2924.084657;9016.289177;6339.155305;25520.86817;69696.40427;0;0;0;1
127414.2591;3366.08481;4496.967531;8958.01996;5561.502827;2348.734524;2735.520527;0;0;0;1
106335.0357;1953.775467;8072.274708;10619.66294;3095.606495;13216.81052;69950.7411;0;0;0;1
77993.87969;369.8810149;3859.762959;4679.407415;5698.441789;53201.70763;62577.82821;0;0;0;1
177706.1206;8132.842709;14996.35417;876.1645616;1447.784822;54612.62668;69659.67937;0;0;0;1
174292.1015;5266.208501;9791.233651;7367.399865;676.326267;26908.13045;36001.70449;0;0;0;1
106236.0675;9977.403814;9346.985505;8174.986658;2471.015904;10714.1149;74134.38685;0;0;0;1
76688.26402;3771.6159;5744.098094;5245.088199;8821.742127;20116.29648;9636.684574;0;0;0;1
23729.68348;3406.188926;1840.097919;11907.57363;379.4706881;39046.56729;46447.56751;0;0;0;1
129826.0356;1309.838488;15715.38418;6672.224985;8377.48042;28098.87043;1890.514649;0;0;0;1
167772.0997;1673.407996;7393.29027;4563.594863;6881.163403;20137.44411;53251.21417;0;0;0;1
10721.48521;1861.702577;9428.016544;3300.138076;7930.392996;29406.64787;159.3174563;0;0;0;1
22057.11775;3496.793174;2585.587536;5376.550236;2989.308932;5909.866146;9139.896987;0;0;0;1
115866.437;4752.359402;4102.43465;63.55064907;1567.961799;25473.27638;62202.40226;0;0;0;1
177563.0082;4117.785389;2192.018002;4638.849003;6937.299392;14260.41141;30309.45574;0;0;0;1
33957.10544;1255.858876;1406.440088;10205.53101;9115.186049;18862.58652;45629.82836;0;0;0;1
80802.91382;2693.33766;1434.435777;7961.319847;9888.942839;7396.296636;17178.02226;0;0;0;1
63280.46445;6171.22365;13822.4805;6469.519348;5740.255975;19210.79462;421.0299017;0;0;0;1
35513.53691;9776.008903;4272.684281;8369.249725;5685.202183;35369.12561;25981.48017;0;0;0;1
13880.89065;5357.596092;10292.66134;6903.078457;956.2910769;23347.43955;25123.16975;0;0;0;1
48477.30882;11937.18788;8636.964847;6083.669742;4559.554613;9378.878629;81092.89928;0;0;0;1
81430.23631;6489.332717;18695.31632;8635.687361;5744.270446;12958.44624;62465.09137;0;0;0;1
57274.87124;1908.59898;13633.77037;14339.5482;236.4544452;41292.91413;99862.53956;0;0;0;1
76415.36026;4764.060474;6195.095465;6668.730549;11782.80552;21569.21421;32131.36049;0;0;0;1
47480.97701;1336.299937;2455.587165;4494.859236;102.8005378;44712.36674;9131.538998;0;0;0;1
101221.1339;4060.016901;10306.95589;5531.906759;3875.343986;43431.96328;5969.994622;0;0;0;1
99119.58096;8057.64763;6930.827743;2718.865779;1350.198364;28029.34878;79398.87011;0;0;0;1
144140.6342;5814.84828;10439.43887;5532.990939;3461.968448;19585.97821;56507.44626;0;0;0;1
94593.88063;3648.975822;8331.710667;5027.780131;656.9973072;26074.51149;95269.32233;0;0;0;1
178481.4221;2541.701826;8764.052459;2808.847506;303.0667896;917.625826;25260.28673;0;0;0;1
20572.33415;4373.439454;15275.04599;3941.222725;6466.371627;13482.46301;1248.756945;0;0;0;1
17532.37124;1766.477378;1131.075323;2966.997602;3276.255242;17532.39742;56365.63468;0;0;0;1
95830.60861;7975.172576;9743.246132;2302.777766;1255.198385;18520.21849;18242.02191;0;0;0;1
69391.28944;5662.060054;8738.187295;4067.330395;1938.381892;13900.99575;63524.21877;0;0;0;1
172144.4138;2700.925639;18725.68475;3803.866245;622.1483728;12566.82313;36256.53422;0;0;0;1
58989.81602;7213.923631;15199.1784;9912.092244;2666.91144;12221.15367;5197.481268;0;0;0;1
20667.87396;7752.766054;10950.9458;2272.109047;9788.773643;4946.251251;13556.18666;0;0;0;1
102029.9009;2170.269428;9169.672633;6171.418194;13337.95663;14414.60931;32160.83981;0;0;0;1
86879.66393;4963.01205;6948.269372;10301.83273;2444.380533;20498.09115;20526.61507;0;0;0;1
17407.92101;4858.39434;7250.033456;1160.890202;5443.903133;38114.6468;30921.7904;0;0;0;1
90352.27143;766.2727662;1384.534423;3930.690372;6241.676449;54961.07496;34641.66957;0;0;0;1
52572.12518;6392.844953;10886.84065;3670.46626;1426.399622;9416.83866;39532.91249;0;0;0;1
135436.7251;3795.34983;15557.32277;11799.49782;2670.739201;18225.69304;25230.05636;0;0;0;1
80042.31501;4379.369119;444.4474428;6003.485342;3245.162593;39098.44316;91225.24138;0;0;0;1
5934.169238;895.3635606;2691.20873;466.6559274;9608.25926;39103.46329;41113.32897;0;0;0;1
86796.40216;11327.62907;19346.0885;11658.31796;7843.304532;17202.6564;565.7510798;0;0;0;1
143945.3014;5547.501036;16669.61004;4214.392784;325.6849554;19893.58498;46235.71208;0;0;0;1
11207.80327;4847.023095;15688.73693;8937.584584;16942.01678;36405.48538;39319.84295;0;0;0;1
13964.42671;11237.75525;4325.117765;9163.023368;498.2031528;9419.20722;8475.071325;0;0;0;1
117353.4411;3887.319437;11125.12177;3672.506299;1525.370302;6309.211809;13618.3095;0;0;0;1
9369.34025;6494.140529;7565.015152;2062.294734;708.6561335;20726.77385;39852.69509;0;0;0;1
73474.11768;9065.673713;1653.567753;7466.671816;4557.984103;51455.77133;15458.64937;0;0;0;1
137229.6186;1208.702468;4423.300342;8969.460345;3489.594721;5293.047292;79281.841;0;0;0;1
10786.36656;10054.08715;16051.3508;7545.137128;5483.505238;7949.574854;13666.35416;0;0;0;1
124207.7706;3303.187463;8512.898084;12320.08737;15218.28716;22576.19364;3207.930675;0;0;0;1
24654.85169;602.4881645;4448.468109;6986.238512;2892.000021;73764.6447;26368.01201;0;0;0;1
35907.80294;245.0089782;6956.028298;2295.585003;2632.260761;26792.07477;26314.53844;0;0;0;1
114924.3188;3974.190981;10325.29942;1947.291389;4108.494448;10724.88989;59175.2004;0;0;0;1
38494.53929;10707.24416;10247.31267;1344.484881;614.0363584;19813.63036;59733.88082;0;0;0;1
50063.46115;5278.94444;15722.28848;5006.49825;16872.77254;11029.71709;59370.62012;0;0;0;1
82127.97501;3266.570707;19670.48788;5321.047999;3123.638213;6377.655324;75102.94607;0;0;0;1
105367.839;161.8821877;22364.74295;11512.66067;3338.384114;33871.90342;127006.0364;0;0;0;1
130872.4048;2969.786209;6960.757852;181.2016894;3226.126164;23213.55703;419.3081563;0;0;0;1
39728.75902;529.8244283;11243.60004;5374.883938;480.3663071;2615.877869;69267.29937;0;0;0;1
48975.75956;2053.609674;8889.823566;20282.75607;7957.357487;538.0283185;3387.019951;0;0;0;1
20718.43762;4942.873177;7334.365649;7107.031274;14776.53303;990.5574291;59232.88303;0;0;0;1
76143.19415;7352.141436;7543.151378;10924.64617;3532.308381;23249.59217;54522.17111;0;0;0;1
54373.16453;5839.946064;3071.521365;8614.360403;7935.847576;4025.598068;54143.99214;0;0;0;1
52564.95836;3543.509521;2718.893654;5439.092311;4928.479165;15178.98416;72782.95319;0;0;0;1
44540.94442;3905.016589;4029.072324;6729.165276;4971.155162;14739.48952;5691.775639;0;0;0;1
29936.60543;3987.781417;13675.075;15558.78486;3052.416118;10026.74085;37751.60656;0;0;0;1
120463.4786;7653.310755;6198.477078;7293.204699;4768.877674;20138.28535;95243.64787;0;0;0;1
191719.2294;5066.289568;15079.30745;245.9252226;3346.575858;32152.96264;33453.12699;0;0;0;1
20634.56357;8020.883709;9993.448943;1558.136438;10233.62658;41601.4796;18109.1921;0;0;0;1
128733.5656;2195.445696;519.7368934;11058.50928;8752.065504;6598.523232;19592.9848;0;0;0;1
26063.93178;2783.411539;453.2118967;6097.372362;9754.573944;16638.6737;17673.38566;0;0;0;1
32641.71711;8289.259615;1813.292908;8787.715454;4654.818244;41207.54266;35965.5525;0;0;0;1
145989.0914;8780.566989;13727.28991;10894.27841;14233.21089;46036.47632;48342.18858;0;0;0;1
59973.10289;5338.104738;1510.711852;2495.798681;2552.405144;24259.00536;35910.87785;0;0;0;1
104638.6759;4232.854885;1587.460718;6529.41698;11326.75117;7280.618832;13206.28489;0;0;0;1
91757.56024;827.1543221;10430.80989;10504.9875;8856.371466;18615.7401;25584.96994;0;0;0;1
118498.7349;2781.847842;5364.480045;8732.489745;15199.04411;13456.85857;58286.24769;0;0;0;1
73590.1733;4171.868597;2992.281988;427.7489108;2329.331397;65212.96767;23516.17308;0;0;0;1
49973.7675;7083.594266;10612.46044;8735.408436;6299.172569;7316.627547;65808.84633;0;0;0;1
87852.94831;2350.542827;4046.315966;2200.140577;7219.871727;20908.36847;43188.99001;0;0;0;1
77965.12027;7296.843526;8404.454597;16114.89392;2977.955727;4211.604716;68967.99078;0;0;0;1
8846.941706;2341.960169;4652.333929;16.85123038;10167.55429;17098.1067;85794.32026;0;0;0;1
56183.73105;3974.814525;8853.970661;12890.39185;6061.488527;47209.71261;15717.40646;0;0;0;1
111548.5593;8016.01098;451.3854927;2148.498337;1006.992921;57493.95173;63287.89711;0;0;0;1
25509.82224;12282.53818;2197.701978;3675.352796;7481.86776;6995.046706;44561.34145;0;0;0;1
73824.1488;5786.536268;8155.419316;8567.525223;387.8307874;3456.47721;74414.43852;0;0;0;1
37943.6843;3638.303479;9319.922523;9262.745313;10045.38088;11270.22351;10349.70197;0;0;0;1
63957.86461;3025.142298;9208.50077;14646.29114;2476.962769;12441.76885;60359.14342;0;0;0;1
50151.55284;1890.908945;772.9199028;5091.065409;2575.298798;5.647631026;46552.38818;0;0;0;1
35417.45666;3107.589776;1035.161128;434.5015854;2679.779924;11548.4293;6131.271725;0;0;0;1
32463.12424;4118.581665;8302.105896;11356.31037;3430.432962;34593.50777;1890.004105;0;0;0;1
192805.2762;1124.813117;5374.455896;1670.858302;7687.277859;1591.276469;12009.61668;0;0;0;1
4252.79037;6221.983972;2869.423323;881.5617457;1398.649798;25343.83395;54468.76571;0;0;0;1
31957.03853;2021.11907;4433.132151;13176.47323;11909.56707;38219.89063;49561.39434;0;0;0;1
188817.9478;10748.11365;4607.51389;12675.13502;4719.106819;16024.87572;11419.11562;0;0;0;1
18813.07857;4048.178817;8479.623966;6942.344344;1391.325505;9853.790874;43360.53007;0;0;0;1
173857.5725;3708.569937;10980.83877;6500.240534;3075.64502;37973.62157;52396.15871;0;0;0;1
19111.30883;8790.910178;8869.918052;15879.86949;5744.272965;3435.224527;54387.7037;0;0;0;1
95003.6057;1340.371813;5816.776128;6691.070132;9952.595479;17570.1093;32884.15114;0;0;0;1
125637.0209;1361.032533;6311.37827;1048.954923;9377.484152;6271.372636;3902.772811;0;0;0;1
4205.274401;3108.7414;19812.67013;6242.900386;1616.262294;45604.18842;32435.70571;0;0;0;1
56442.49975;8093.786951;23510.21111;2013.27586;4539.629202;11249.52293;39118.24324;0;0;0;1
71708.88721;1738.011647;4158.67653;6808.320483;2965.302962;17189.7691;6981.795934;0;0;0;1
71392.66869;8800.333315;361.0422088;6671.070266;9168.553531;35891.88894;2527.244828;0;0;0;1
204132.3296;5874.634619;14007.90434;13670.6408;6281.108823;32302.9613;104109.7082;0;0;0;1
109424.0268;58.41842501;9674.591411;12781.00502;4741.953517;14075.76;12768.00991;0;0;0;1
147840.6995;2350.219616;25587.98709;6639.410743;6576.50408;9093.532699;53309.24161;0;0;0;1
61017.40726;4920.260533;2437.305296;8109.420393;9968.023973;14695.65284;65776.68509;0;0;0;1
151904.8177;12367.95419;22760.61158;42.14065832;9023.471161;53645.53813;30615.88111;0;0;0;1
192674.0982;8136.78951;6464.74882;3428.097307;8165.722341;9566.992605;11953.68237;0;0;0;1
199616.6477;2331.608632;10434.245;1475.91093;1632.485138;27160.11729;4261.613359;0;0;0;1
83971.9809;10974.0661;6031.823246;2261.895229;9356.097893;19695.82909;25849.82451;0;0;0;1
49823.74162;1910.511439;3679.738821;4134.395422;9406.408371;30037.345;8536.574878;0;0;0;1
13377.16198;2710.756164;20953.37974;701.4495827;15936.39354;28433.33565;3992.528776;0;0;0;1
30285.14807;7791.254069;3381.479622;10508.9264;4058.999657;34368.12051;66033.2209;0;0;0;1
97699.87174;7497.431973;2599.882609;645.2673566;5682.56417;37086.85727;67950.41007;0;0;0;1
5281.721719;207.3308964;11076.19798;870.5631996;16631.36297;5331.605907;15137.01082;0;0;0;1
126206.7242;8209.670185;21928.13797;8674.624558;1572.326639;32686.93855;11021.41565;0;0;0;1
56233.24787;2685.165882;9221.944234;13212.83284;8530.318799;44404.87278;20995.75792;0;0;0;1
161991.6811;1099.745931;11981.45518;1670.880586;4581.01291;8700.609013;51235.40779;0;0;0;1
110247.3472;6033.665403;9142.425521;7184.004249;2786.180673;19706.36513;34593.15599;0;0;0;1
66733.59454;4332.639342;514.7939204;10950.84986;14601.44405;2080.893281;59023.28016;0;0;0;1
145073.836;5858.971403;2757.322783;2641.990299;5110.097429;27043.64444;29613.90898;0;0;0;1
73659.99725;1580.873365;25227.56356;9078.887673;2795.050546;16575.30594;49118.80275;0;0;0;1
55215.35178;12974.07925;12808.98362;8061.114642;4044.027123;59402.68863;7566.502434;0;0;0;1
52725.76519;1069.139596;8998.55784;5093.901994;3788.187323;2625.002982;39742.74335;0;0;0;1
110930.3015;1213.887139;508.6402099;9093.183348;7045.24938;249.3408316;43617.13114;0;0;0;1
19815.60944;17501.31848;21076.85546;9025.788229;1224.204394;24576.25664;26265.97396;0;0;0;1
103447.6032;8211.623513;745.8056297;7976.159269;376.8350264;25978.49828;11664.88304;0;0;0;1
17834.33835;5111.068212;5537.100966;125.7122454;1745.637573;8253.090192;77934.09092;0;0;0;1
35274.11131;9070.644467;14734.69566;7019.745818;174.7818482;4255.737694;61696.20124;0;0;0;1
83997.17035;6718.974547;4211.794654;4148.06514;4992.174493;642.0951308;15378.64055;0;0;0;1
71569.63532;11745.30339;18216.31958;6694.465759;4099.570536;1554.409736;65817.6909;0;0;0;1
111503.6579;9165.02834;10721.53738;9723.841444;5172.575963;42715.95081;4305.964266;0;0;0;1
97334.86389;4243.363777;19817.74621;5238.283357;4654.911301;4271.598673;10453.30576;0;0;0;1
48072.41173;7003.771181;15805.43243;2351.404753;6926.674575;11549.57037;47102.84098;0;0;0;1
109477.3058;3029.332556;747.6869253;6495.918471;2239.403835;1731.443281;6696.610889;0;0;0;1
120440.2145;2397.378883;8083.46433;6179.982027;2403.931481;19745.60167;30007.92994;0;0;0;1
156488.0623;2828.434353;18493.6092;7975.565339;12085.18452;27538.26251;78851.36928;0;0;0;1
83078.24763;3137.157617;17633.4413;13460.31431;10150.7692;26645.02428;67288.70409;0;0;0;1
27101.48235;1899.715201;14593.53943;7713.338795;7657.702679;40249.26004;27632.28955;0;0;0;1
